FROMNODENO,TONODENO,WKT
30006,30011,"LINESTRING (-1.59554836453592 52.4152091918553, -1.59270045329298 52.4147319365903)"
30011,30006,"LINESTRING (-1.59270045329298 52.4147319365903, -1.59554836453592 52.4152091918553)"
30087,30595,"LINESTRING (-1.53417436145958 52.403143451542, -1.53077367294082 52.4033839831777)"
30595,30087,"LINESTRING (-1.53077367294082 52.4033839831777, -1.53417436145958 52.403143451542)"
30149,30357,"LINESTRING (-1.51401272775764 52.3847114335559, -1.513755117579 52.3845052861262)"
30357,30149,"LINESTRING (-1.513755117579 52.3845052861262, -1.51401272775764 52.3847114335559)"
30077,30078,"LINESTRING (-1.54001696843441 52.408101904379, -1.53939424751221 52.4086119191178)"
30078,30077,"LINESTRING (-1.53939424751221 52.4086119191178, -1.54001696843441 52.408101904379)"
30070,30071,"LINESTRING (-1.54515909084786 52.4098209223647, -1.54435861124525 52.4104651319595)"
30071,30070,"LINESTRING (-1.54435861124525 52.4104651319595, -1.54515909084786 52.4098209223647)"
30066,30070,"LINESTRING (-1.54747463995529 52.411960463722, -1.54515909084786 52.4098209223647)"
30070,30066,"LINESTRING (-1.54515909084786 52.4098209223647, -1.54747463995529 52.411960463722)"
30043,30045,"LINESTRING (-1.56081272399566 52.3938056903614, -1.56048738200244 52.3940112555868)"
30045,30043,"LINESTRING (-1.56048738200244 52.3940112555868, -1.56081272399566 52.3938056903614)"
30284,30289,"LINESTRING (-1.45489650213824 52.4181149453839, -1.45202689290732 52.4194951623548)"
30289,30284,"LINESTRING (-1.45202689290732 52.4194951623548, -1.45489650213824 52.4181149453839)"
30288,30289,"LINESTRING (-1.45294419104555 52.420227610174, -1.45202689290732 52.4194951623548)"
30289,30288,"LINESTRING (-1.45202689290732 52.4194951623548, -1.45294419104555 52.420227610174)"
30132,30133,"LINESTRING (-1.51690800648234 52.4404191929147, -1.51567563240989 52.4414872348114)"
30133,30132,"LINESTRING (-1.51567563240989 52.4414872348114, -1.51690800648234 52.4404191929147)"
30165,30170,"LINESTRING (-1.50841151671958 52.4398358050887, -1.5070519243797 52.4377534346734)"
30170,30165,"LINESTRING (-1.5070519243797 52.4377534346734, -1.50841151671958 52.4398358050887)"
30191,30196,"LINESTRING (-1.5029314078137 52.4287460816239, -1.49959894376766 52.4282106080021)"
30196,30191,"LINESTRING (-1.49959894376766 52.4282106080021, -1.5029314078137 52.4287460816239)"
30010,30011,"LINESTRING (-1.59276215763503 52.4144174949336, -1.59270045329298 52.4147319365903)"
30011,30010,"LINESTRING (-1.59270045329298 52.4147319365903, -1.59276215763503 52.4144174949336)"
30042,30043,"LINESTRING (-1.56127388063616 52.3932410217516, -1.56081272399566 52.3938056903614)"
30043,30042,"LINESTRING (-1.56081272399566 52.3938056903614, -1.56127388063616 52.3932410217516)"
30262,30264,"LINESTRING (-1.46822121901824 52.3835993690961, -1.46797524614843 52.383283606071)"
30264,30262,"LINESTRING (-1.46797524614843 52.383283606071, -1.46822121901824 52.3835993690961)"
30045,30046,"LINESTRING (-1.56048738200244 52.3940112555868, -1.55985651798862 52.3943102092556)"
30046,30045,"LINESTRING (-1.55985651798862 52.3943102092556, -1.56048738200244 52.3940112555868)"
30161,30166,"LINESTRING (-1.5095356659368 52.3809370190069, -1.50900526987629 52.3797481126171)"
30166,30161,"LINESTRING (-1.50900526987629 52.3797481126171, -1.5095356659368 52.3809370190069)"
30172,30179,"LINESTRING (-1.50739918799751 52.3881023097715, -1.50589954904664 52.3894985228875)"
30179,30172,"LINESTRING (-1.50589954904664 52.3894985228875, -1.50739918799751 52.3881023097715)"
30145,30458,"LINESTRING (-1.51446368453442 52.4109912964255, -1.51469761204852 52.411282150234)"
30458,30145,"LINESTRING (-1.51469761204852 52.411282150234, -1.51446368453442 52.4109912964255)"
30227,30232,"LINESTRING (-1.48419882196969 52.4308954526008, -1.4820771363378 52.4299602011772)"
30232,30227,"LINESTRING (-1.4820771363378 52.4299602011772, -1.48419882196969 52.4308954526008)"
30266,30581,"LINESTRING (-1.46701989403144 52.4406635017334, -1.4646646718996 52.4363421064656)"
30581,30266,"LINESTRING (-1.4646646718996 52.4363421064656, -1.46701989403144 52.4406635017334)"
30263,30266,"LINESTRING (-1.46747461478855 52.440773430444, -1.46701989403144 52.4406635017334)"
30266,30263,"LINESTRING (-1.46701989403144 52.4406635017334, -1.46747461478855 52.440773430444)"
30175,30182,"LINESTRING (-1.50705129292471 52.3784364058226, -1.50510308110371 52.3779338083316)"
30182,30175,"LINESTRING (-1.50510308110371 52.3779338083316, -1.50705129292471 52.3784364058226)"
30062,30063,"LINESTRING (-1.54760529041012 52.3906480322556, -1.54698302497458 52.390412545558)"
30063,30062,"LINESTRING (-1.54698302497458 52.390412545558, -1.54760529041012 52.3906480322556)"
30034,30036,"LINESTRING (-1.56553976924979 52.403289772016, -1.56430132147203 52.4036717937998)"
30036,30034,"LINESTRING (-1.56430132147203 52.4036717937998, -1.56553976924979 52.403289772016)"
30138,30139,"LINESTRING (-1.51608955021527 52.3834812695743, -1.51592209734127 52.3853595330814)"
30139,30138,"LINESTRING (-1.51592209734127 52.3853595330814, -1.51608955021527 52.3834812695743)"
30173,30181,"LINESTRING (-1.50708134224729 52.4126890846266, -1.50479804711174 52.4144056568398)"
30181,30173,"LINESTRING (-1.50479804711174 52.4144056568398, -1.50708134224729 52.4126890846266)"
30181,30184,"LINESTRING (-1.50479804711174 52.4144056568398, -1.50438337766351 52.4146736242504)"
30184,30181,"LINESTRING (-1.50438337766351 52.4146736242504, -1.50479804711174 52.4144056568398)"
30183,30184,"LINESTRING (-1.50456332344812 52.4143597233709, -1.50438337766351 52.4146736242504)"
30184,30183,"LINESTRING (-1.50438337766351 52.4146736242504, -1.50456332344812 52.4143597233709)"
30181,30183,"LINESTRING (-1.50479804711174 52.4144056568398, -1.50456332344812 52.4143597233709)"
30183,30181,"LINESTRING (-1.50456332344812 52.4143597233709, -1.50479804711174 52.4144056568398)"
30147,30148,"LINESTRING (-1.51400590416517 52.3698525760838, -1.51399240059221 52.3697446380875)"
30148,30147,"LINESTRING (-1.51399240059221 52.3697446380875, -1.51400590416517 52.3698525760838)"
30274,30280,"LINESTRING (-1.46028345069419 52.429718951502, -1.45784809503822 52.4292223496507)"
30280,30274,"LINESTRING (-1.45784809503822 52.4292223496507, -1.46028345069419 52.429718951502)"
30298,30299,"LINESTRING (-1.44637593146996 52.4186867081352, -1.44581214467288 52.416742193777)"
30299,30298,"LINESTRING (-1.44581214467288 52.416742193777, -1.44637593146996 52.4186867081352)"
30248,30251,"LINESTRING (-1.47417148564357 52.4429699970966, -1.47313617247398 52.444547651389)"
30251,30248,"LINESTRING (-1.47313617247398 52.444547651389, -1.47417148564357 52.4429699970966)"
